Question
3,The level was easy,2
1,The level was fun,4
5,The enemies were predictable,5
2,The level was difficult,6
4,The enemies acted "tricky" or "strategic".,7

Question
5,The enemies were predictable,1
4,The enemies acted "tricky" or "strategic".,2
2,The level was difficult,3
1,The level was fun,4
3,The level was easy,5

Question
4,The enemies acted "tricky" or "strategic",5
1,The level was fun,4
2,The level was difficult,4
5,The enemies were predictable,4
3,The level was easy,4

Question
5,The enemies were predictable,4
3,The level was easy,4
1,The level was fun,4
2,The level was difficult,4
4,The enemies acted "tricky" or "strategic",4

Question
3,The level was easy,4
1,The level was fun,4
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4

Question
5,The enemies were predictable,4
1,The level was fun,4
2,The level was difficult,4
3,The level was easy,4
4,The enemies acted "tricky" or "strategic",4

Question
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4
3,The level was easy,4
1,The level was fun,4

Question
2,The level was difficult,4
4,The enemies acted "tricky" or "strategic",4
1,The level was fun,4
5,The enemies were predictable,4
3,The level was easy,4

Question
4,The enemies acted "tricky" or "strategic",4
3,The level was easy,4
5,The enemies were predictable,4
2,The level was difficult,4
1,The level was fun,4

Question
2,The level was difficult,4
4,The enemies acted "tricky" or "strategic",4
1,The level was fun,4
5,The enemies were predictable,4
3,The level was easy,4

Question
2,The level was difficult,4
3,The level was easy,4
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
1,The level was fun,4

Question
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4
3,The level was easy,4
1,The level was fun,4

Question
3,The level was easy,4
5,The enemies were predictable,4
2,The level was difficult,4
1,The level was fun,4
4,The enemies acted "tricky" or "strategic",4

Question
3,The level was easy,4
1,The level was fun,4
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4

Question
4,The enemies acted "tricky" or "strategic",4
3,The level was easy,4
1,The level was fun,4
5,The enemies were predictable,4
2,The level was difficult,4

Question
5,The enemies were predictable,4
1,The level was fun,4
2,The level was difficult,4
3,The level was easy,4
4,The enemies acted "tricky" or "strategic",4

Question
2,The level was difficult,4
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
3,The level was easy,4
1,The level was fun,4

Question
2,The level was difficult,4
3,The level was easy,4
5,The enemies were predictable,4
1,The level was fun,4
4,The enemies acted "tricky" or "strategic",4

Question
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4
3,The level was easy,4
1,The level was fun,4

Question
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
1,The level was fun,4
2,The level was difficult,4
3,The level was easy,4

Question
2,The level was difficult,4
5,The enemies were predictable,4
1,The level was fun,4
3,The level was easy,4
4,The enemies acted "tricky" or "strategic",4

Question
3,The level was easy,4
1,The level was fun,4
4,The enemies acted "tricky" or "strategic",4
5,The enemies were predictable,4
2,The level was difficult,4

Question
2,The level was difficult,4
4,The enemies acted "tricky" or "strategic",4
1,The level was fun,4
5,The enemies were predictable,4
3,The level was easy,4

